"id","recipies_title","recipe_ingredients","recipe_instructions"
"32","Potato Masala","1
coriander leaves
green chilies
mustard seeds
oil
onion
potatoes 1
salt
turmeric powder
urad dal
","Ingredients
2 no POTATO
1 cup ONION CHOPPED
4 tbsp OIL
0.50 tsp MUSTARD SEEDS
0.50 tsp URAD DAL
2 no GREEN CHILIES
0.25 tsp HING (ASAFOETIDA)
10 no CURRY LEAVES
2 tbsp CILANTRO (CORIANDER)LEAVES RAW CHOPPED
0.25 tsp TURMERIC POWDER
1 tsp SALT (to taste)
Instructions
1: Peel and chop the potatoes roughly. Discard the skin. In a sauce pan add the chopped potatoes, water, salt, and boil until the potatoes become soft. Strain and discard the water from the boiled potatoes. 
2: Mash the potatoes using a potato masher or with fingers. Avoid mashing the potatoes to the smooth texture, it should be little chunky. 
3: In a pan heat oil, add the mustard seeds and allow to splutter. Add the urad dal, asafoetida(Hing), curry leaves, sliced onion, green chilies and cook until the onion becomes soft. 
4: Add the turmeric powder, sprinkle little amount of water and mix well. Cover and cook for a couple of seconds. 
5: Add the mashed potatoes, salt and mix well. Check for the salt and garnish with chopped coriander leaves. 
"
"33","Puzhi Kulambu","3
brinjal 1
coconut
coriander powder
cumin / jeera
curry leaves
garlic
methi/fenugreek
mustard seeds
oil
onion
pepper red or cayenne
tamarind 1
tomato 1
urad dal","Ingredients
5 no EGGPLANT
4 no ROMA TOMATO
1 no ONIONS CHOPPED
1 tbsp GARLIC RAW
5 tbsp OIL
0.50 tsp FENUGREEK SEED
0.50 tsp MUSTARD SEEDS
1 tsp URAD DAL
10 no CURRY LEAVES
40 gms TAMARIND
1 tbsp CORIANDER POWDER
1 tsp PEPPER RED OR CAYENNE
0.25 cup COCONUT MEAT RAW
0.50 tsp CUMIN SEED
Instructions
1: Slice the eggplants (brinjal) and chop the onion, garlic, and tomatoes finely. Soak tamarind in warm water for 10 minutes and extract the tamarind juice. Keep aside.  
2: In a pan heat oil add mustard seeds and wait until it gets splutter.Add fenugreek seeds, urad dal, asafoetida, curry leaves, chopped garlic, onion and cook until onion becomes soft. 
3: Add sliced eggplant and cook until it gets cooked completely.Add chopped tomatoes and cook until it becomes soft. 
4: Add coriander powder, salt, turmeric powder, red chili powder and mix well. Cook until the spices lose its raw smell. 
5: Add the tamarind extract and allow it to boil for 5 - 7 minutes. Grind shredded coconut and cumin seeds together to a smooth paste and add it to the curry. Mix well and garnish it with chopped coriander leaves. 
"
"34","Ragi Malt","2
asafoetida/hing
buttermilk 1
curry leaves
green chilies
mustard seeds
oil
ragi flour 1
salt
water","Ingredients
0.25 cup Ragi Flour
1.50 cup Water
2 cups Buttermilk
1.50 tsp Salt (to taste)
0.50 tsp Mustard Seeds
1 pinch Asafoetida (hing)
1 tsp Oil
5 no Curry Leaves Chopped
1 no Green Chilies Chopped
Instructions
1: Dry roast the ragi flour over medium heat for 4 to 5 mins until nice aroma comes out. 
2: Add water, mix well quickly and cook until the ragi flour becomes thick, it takes only 3 to 5 minutes. Allow to cool. 
3: Blend cooked ragi and buttermilk together until smooth in a blender or using a hand mixer. 
4: For tempering: In a small saucepan, heat oil, add mustard seeds and let it splutter. Add asafoetida and mix well in the oil. Add curry leaves, green chilies and mix well. Add to the ragi malt and serve. 
"
"35","Ragi Peanut Ladoo","3
jaggery 1
milk
peanuts 1
ragi flour 1
sesame/til","Ingredients
1 cup RAGI FLOUR
2 cup PEANUTS
1.50 cup JAGGERY
0.50 cup SESAME SEEDS
0.50 cup MILK
Instructions
1: In a pan add ragi flour and dry roast on a medium flame until the raw smell goes off (it takes about 8 - 10 minutes). Transfer it to a wide bowl and allow it to cool. 
2: In the same pan add sesame seeds and roast until it starts to pop or the color changes to golden brown. Transfer it to a wide bowl and allow it to cool. 
3: In the same pan add peanuts and roast until the color changes into golden brown or it becomes crispy. If you are using the peanuts with skin, dry roast and discard the skin or if you are using store bought roasted and skinned peanuts, you can skip this step. 
4: In a blender add roasted peanuts, roasted ragi flour, roasted sesame seeds, grated jaggery and grind it to a fine powder. 
5: Add warm milk and shape them into small balls and serve or store it in an airtight container. 
"
"36","Rasam","2
asafoetida/hing
black pepper
chana dal or bengal gram
cumin / jeera
curry leaves
green chilies
methi/fenugreek
mustard seeds
oil
salt
tamarind 1
tomato 1
urad dal
water","Ingredients
2 no TOMATOES
1 tbsp FENUGREEK SEED
0.50 tbsp CHANNA DAL RAW
0.50 tbsp PEPPER BLACK
1 tsp CUMIN SEED
8 gms GARLIC RAW
1 tsp TAMARIND
1 tsp OIL
0.50 tsp MUSTARD SEEDS
0.50 tsp URAD DAL
0.25 tsp HING OR ASAFOETIDA
3 no RED CHILIES
4 cup WATER
10 no CURRY LEAVES
1 tsp SALT (to taste)
Instructions
1: Dry roast fenugreek seeds, black pepper, cumin seeds, and channa together until the fenugreek seeds color changes into golden brown. Allow to cool and grind it to a coarse powder. 
2: Crush garlic and red chilies together coarsely. I used mortar and pestle to crush. 
3: In a pan heat oil add mustard seeds and allow it to splutter. Add urad dal, curry leaves, asafoetida and mix well in the oil. 
4: Add chopped tomatoes, turmeric powder, salt and mix well. Cover and cook until the tomatoes become soft (keep stirring in between to avoid burning). 
5: Add water, tamarind concentrate, salt, and mix well. Boil until the form started forming on top. 
6: Add grounded fenugreek seeds and spices powder, crushed garlic and red chilies to the rasam and turn off the heat. Garnish with chopped coriander stems. 
"
"37","Rava Dosa","3
all purpose flour 1
buttermilk
cumin / jeera
curry leaves
green chilies
rice flour 1
salt
sooji rava 1
water","Ingredients
0.5 cup SOOJI RAVA
0.5 cup RICE FLOUR WHITE
0.25 cup ALL PURPOSE FLOUR
0.5 tsp CUMIN SEED
5 no CURRY LEAVES
1 no GREEN CHILIES
0.25 cup BUTTERMILK LOWFAT
2.5 cup WATER
1 tsp SALT TABLE
Instructions
1: In a bowl add sooji, rice flour, all purpose flour, salt, cumin seeds, chopped green chilies, chopped curry leaves and mix well. 
2: Add buttermilk, water and mix well without any lumps. The batter should be thin and set aside for 20 minutes. 
3: In a hot skillet just pour a laddle full of batter and move the skillet to and fro and fill the gaps. Avoid spreading it in circle shapes using spoon or laddle. 
4: Drizzle oil on sides and cook until the bottom of dosa turns into crispy 
"
"38","Sambar","6
asafoetida/hing
curry leaves
green chilies
methi/fenugreek
mustard seeds
oil
okra 1
onion
salt
sambar powder 1
tamarind paste 1
tomato 1
toor dal 1
turmeric powder
urad dal 1","Ingredients
1 cup Toor Dal
1 cup Onion Chopped
2 no Tomatoes
1 tsp Tamarind Paste or one tablespoon raw tamarind
15 no Okra
2 tbsp Sambar Powder
0.50 tsp Mustard Seeds
1 tsp Urad Dal
0.50 tsp Asafoetida
10 no Curry Leaves
2 tbsp Oil
2 no Green Chilies
0.50 tsp Turmeric Powder
2 tsp Salt (to taste)
1 tsp Fenugreek Seeds
Instructions
1: Rinse toor dal with water 3 to 4 times until the water runs clear.  
2: In a pressure cooker, add toor dal, water, salt, turmeric powder and cook for 4 whistles and let the pressure cooker cool naturally. Uncover the pressure cooker and mash the dal using the back of a ladle. 
3: In a saucepan, heat oil, add fenugreek seeds and saute until the color changes to light brown. Add mustard seeds and allow to splutter. Add urad dal and saute until the color changes to golden brown. 
4: Add asafoetida (hing) and mix well in the oil. Add chopped onion, curry leaves, green chilies and cook until the onion becomes soft. 
5: Add chopped okra, sprinkle little amount of water and cook until the okra becomes soft. 
6: Add chopped tomatoes and cook until the tomatoes become soft. 
7: Add tamarind paste, water, mix well and bring to a boil. Add sambar powder and boil until the sambar powder loses its raw smell. 
8: Add mashed dal, salt and mix well. Bring the sambar to a boil and garnish with chopped coriander leaves. Sambar is ready to serve. 
"
"39","South Indian Fish Curry","3
chilli powder
coconut
coriander leaves
coriander powder
curry leaves
fish tilapia raw 1
garlic
methi/fenugreek
oil
onion
tamarind 1
tomato 1
turmeric powder","Ingredients
2 lb FISH TILAPIA RAW
5 no TOMATOES
2 cup ONION CHOPPED
10 tbsp OIL
1 tsp FENUGREEK SEEDS
0.50 cup COCONUT SHREDDED
50 gms TAMARIND
10 no CURRY LEAVES
5 no GARLIC CHOPPED
1 tbsp RED CHILI POWDER
2 tbsp CORIANDER POWDER
0.25 tsp CILANTRO (CORIANDER)LEAVES RAW
0.50 tsp TURMERIC POWDER
Instructions
1: In a pan, heat 6 tbsp of oil, add 1 cup of chopped onion and cook until onions become soft. 
2: Add the 3 chopped tomato and cook until tomatoes become soft. Allow it to cool. 
3: In a mixie or blender, add cooked tomato and onion mixture, coriander powder, red chili powder, fennel seeds, grated coconut and grind to a smooth paste. 
4: In a separate pan, heat 4 tbsp of oil, add fenugreek seeds, chopped garlic, curry leaves, remaining 1 cup of onion, green chilies, turmeric powder and cook until onion becomes soft.  
5: Add a chopped tomato and cook until tomato becomes soft. Add the grounded mixture and allow to boil for a minute. 
6: Soak tamarind in water for few minutes and squeeze the juice out of it and add it to the curry. Check for the salt and allow it to boil. 
7: Add the fish and cook for 5 minutes without mixing. Turn off the heat and keep the curry for minimum 2 hours for more flavor before serving. 
"
"4","Cabbage Moong Dal Kootu","2
cabbage 1
green chilies
mustard seeds
yellow moong dal
oil
onion
salt
shredded coconut
urad dal
water","Ingredients
4 cup CABBAGE RAW CHOPPED
1 cup ONION CHOPPED
2 no GREEN CHILIES
3 tbsp OIL
0.25 cup COCONUT GRATED
0.50 tsp MUSTARD SEEDS
0.50 tsp URAD DAL
10 no CURRY LEAVES
0.25 tsp TURMERIC GROUND
4 tbsp MOONG DAL RAW
1 tsp SALT TABLE
0.25 cup WATER
Instructions
1: Soak moong dal in hot water for 10 minutes (use little amount of hot water to soak the moong dal, drain the dal from hot water and reserve 0.25 cup of water from it, so that you can use it for cooking the cabbage and you don't want to miss the nutrition from the dal by discarding the water). 
2: Chop the cabbage, onion and green chilies finely. 
3: In a pan heat oil add mustard seeds and allow it to splutter. Add urad dal, curry leaves, onion, green chilies and cook until onion becomes soft.Add turmeric powder and mix well. Cook until the turmeric powder loses its raw smell. 
4: Add chopped cabbage, soaked moong dal, salt, water and mix well. Cover and cook until cabbage become soft (keep stirring in between to avoid burning the cabbage). 
5: Add shredded coconut and mix well. Turn off from the heat and transfer it to a serving bowl. 
"
"40","South Indian Onion Pakoda","3
asafoetida/hing
chickpea flour (besan) 1
chilli powder
curry leaves
green chilies
onion 1
rice flour 1
salt
turmeric powder
water","Ingredients
1 cup CHICKPEA FLOUR (BESAN)
2 tbsp RICE FLOUR WHITE
0.50 tsp HING OR ASAFOETIDA
0.50 tbsp RED CHILI POWDER
1.50 cup ONION CHOPPED
1 tsp SALT TABLE
2 no GREEN CHILIES
10 no CURRY LEAVES
0.25 tsp TURMERIC GROUND
0.25 cup WATER
Instructions
1: Slice the onion thinly and chop the green chilies finely. 
2: In a bowl add besan flour, rice flour, salt, red chili powder, asafoetida, turmeric powder and mix well. 
3: Add the sliced onion, chopped green chilies, curry leaves and mix well. Sprinkle water little by little and make a thick batter. The batter should be thick and sticky. 
4: In a hot oil drop the batter, little by little and deep fry in a medium flame until the pakoda turns into crispy. 
"
"41","Spicy Fish Fry","3
chilli powder 1
coriander powder
corn flour 1
fish tilapia raw 1
lemon
oil
salt
turmeric powder
water","Ingredients
2 lb FISH TILAPIA RAW
2 tbsp RED CHILI POWDER
2 tbsp CORIANDER POWDER
1 tsp TURMERIC GROUND
2 tsp LEMON JUICE RAW
2 tbsp CORNFLOUR
0.50 cup WATER
1 cup OIL
2 tsp SALT TABLE
Instructions
1: For marinade: In a bowl add red chili powder, coriander powder, turmeric powder, salt and mix well. Add lemon juice and mix well. Add water little by little and make a smooth paste. 
2: Cut the tilapia fillets into small pieces and apply the marinade evenly on the fish. Marinate in the refrigerator for 20 minutes. 
3: In a separate bowl add corn flour, water and make a thin batter.  
4: Heat oil in a pan and dip the marinated fish one by one in the batter and place in the hot oil carefully. Fry until the bottom side of the fish becomes crispy. Flip gently and fry on the other side until crispy. 
5: Line a plate with paper towel. Remove the fried fish from the oil and place on the paper towel-lined plate (this helps to absorb the excess oil from fish). Garnish with sliced onion and lemon if desired and serve. 
"
"42","Spinach Poriyal","1
canola oil
mustard seeds
onion
red chilli (dried)
salt
shredded coconut
spinach 1
urad dal","Ingredients
4 cup SPINACH RAW
1 cup ONION CHOPPED
2 tbsp CANOLA OIL
0.25 cup SHREDDED COCONUT
0.25 tsp MUSTARD SEEDS
0.50 tsp URAD DAL
1 tsp CHANNA DAL
0.25 tsp SALT TABLE
2 no DRY RED CHILIES
Instructions
1: Wash and chop the spinach roughly. 
2: In a pan heat oil, add mustard seeds and allow it to splutter. Add urad dal, channa dal, red chilies, asafoetida and saute in the oil until the urad dal and channa dal color changes to golden brown. Add chopped onion and cook until the onion becomes soft. 
3: Add the chopped spinach and cook for 3 - 4 minutes until the spinach leaves wilts. 
4: Add the shredded coconut and mix well. Spinach poriyal is ready to be served. 
"
"43","Sweet Pongal","4
basmati rice 1
cardamom
cashewnuts or kaju
coconut
ghee 1
jaggery 1
raisins
water
yellow moong dal 1","Ingredients
0.50 cup BASMATI RICE
0.50 cup YELLOW MOONG DAL
1 cup JAGGERY
2 no CARDAMOM
2.50 cup WATER
10 no CASHEW NUTS RAW
10 no RAISINS SEEDLESS
0.25 cup FINELY SLICED COCONUT PIECES
2 tbsp GHEE
Instructions
1: Wash the rice and moong dal together. In a pressure cooker add rice, moong dal and 2.50 cups of water and cook until two whistles. Allow the pressure cooker to cool naturally. 
2: In the mean time start preparing the jaggery syrup. In a microwave safe thick glass bowl add jaggery, little amount of water and cook until the jaggery melts down completely (take out the bowl from microwave oven at every 30 seconds interval and mix well).  
3: Filter the syrup using a muslin or cheese cloth or strainer and keep it ready. 
4: Heat ghee in a small skillet add cashew nuts, raisins, thinly sliced small pieces of coconut and cook until the cashew nuts color changes into golden brown and the raisins plump up. 
5: Once the pressure cooker cooled down, open the lid and add jaggery syrup, roasted cashew nuts, raisins and coconut along with ghee, crushed cardamoms and mix well. Enjoy sweet pongal warm or cold. 
"
"44","Tomato Chutney","1
chilli powder
garlic
oil
onion
salt
tomato 1","Ingredients
4 no ROMA TOMATO
1 cup ONION CHOPPED
2 tsp CORIANDER POWDER
4 tbsp OIL
2 no GARLIC RAW
1 tsp RED CHILI POWDER
1 tsp SALT TABLE
Instructions
1: In a pan heat oil add chopped onion, garlic and cook until the onion becomes soft. 
2: Add the chopped tomato and cook until it becomes soft. Keep stirring in between to avoid burning the tomatoes. 
3: Add coriander powder, red chili powder, salt and mix well. Cook until the coriander powder loses its raw smell. Allow it to cool and grind it to smooth paste. 
"
"45","Tomato Rice","2
basmati rice 1
bayleaf
cardamom
chilli powder
cinnamon
cloves/lavang
coconut milk
coriander leaves
fennel seed
green chilies
mint leaves
oil
onion
salt
tomato 1
turmeric powder
water","Ingredients
4 no ROMA TOMATO
2 cup BASMATI RICE
2 cup WATER
1 cup COCONUT MILK
5 tbsp OIL
2 cup ONIONS RAW
4 no GREEN CHILIES
0.25 cup MINT LEAVES
0.50 cup CILANTRO (CORIANDER)LEAVES RAW
0.50 tbsp RED CHILI POWDER
0.25 tsp TURMERIC GROUND
0.50 tbsp SALT TABLE
1 tsp FENNEL SEED
1 no CINNAMON
1 no BAY LEAF
4 no CLOVES
2 no CARDAMOM
Instructions
1: Soak the rice in cold water for about an hour. 
2: In a large pan, heat oil, add fennel seeds, cinnamon stick, cloves, bay leaves and cardamoms.  
3: Add sliced onion and green chilies, cook until onion becomes soft. Add ginger garlic paste and cook until it loses its raw smell. Add chopped tomatoes, salt, red chili powder, turmeric powder and mix well. Cook until tomatoes become soft. 
4: Add mint leaves and chopped coriander leaves. Mix well. Add the soaked rice and mix well, until the tomato mixture coated evenly with the rice. 
5: Add water and coconut milk. Mix well and check for the salt, when it starts boiling, cover the pan with a lid and cook until all the liquid contents get absorbed by the rice. Garnish it with chopped coriander leaves. 
"
"46","Tomato Thokku","2
asafoetida/hing
canola oil
chilli powder 1
curry leaves
garlic
methi/fenugreek
salt
tamarind
tomato 1","Ingredients
6 no ROMA TOMATO
2 tsp TAMARIND
3 tsp SALT TABLE
6 tsp RED CHILI POWDER
2.50 tbsp CANOLA OIL
1 tsp FENUGREEK SEED
1 tsp MUSTARD SEEDS
15 no CURRY LEAVES
10 no GARLIC RAW
1 tsp HING OR ASAFOETIDA
Instructions
1: Chop the tomatoes finely. In a heavy bottomed pan add chopped tomatoes, cover and cook until it becomes completely dry (you should not able to find any moisture content in it). Keep stirring and mashing the tomatoes using a spatula in between to avoid burning.  
2: In the mean time, dry roast fenugreek seeds until golden brown, allow it to cool and make a fine powder. 
3: Once the tomatoes cooked completely and become dry add tamarind concentrate, red chili powder, turmeric powder, salt and mix well. 
4: In a separate pan heat oil, add mustard seeds, asafoetida, curry leaves, chopped garlic and add it to the tomato mixture. 
5: Allow the tomato mixture to cook in oil for at least 15 - 20 minutes in a medium flame. The oil should float on top, it ensures there is no water in tomato mixture. Add fenugreek powder, mix well and turn off the heat. Allow it to cool completely and store it in a refrigerator. 
"
"47","Unni appam","3
baking soda
bananas raw
cardamom
cashewnuts or kaju
coconut
ghee 1
jaggery 1
raisins
rice flour 1
","Ingredients
1 cup RICE FLOUR WHITE
1 no BANANAS RAW
100 gms JAGGERY
2 no CARDAMOM
4 tbsp GHEE
4 gms RAISINS GOLDEN SEEDLESS
4 gms CASHEW NUTS RAW
2 tbsp COCONUT MEAT RAW
0.25 tsp BAKING SODA
Instructions
1: Mash the banana using a fork until smooth. 
2:  In a wide bowl, add rice flour, crushed cardamom, jaggery syrup (refer above notes on how to make jaggery syrup), baking soda, mashed banana, finely chopped coconut pieces, raisins (optional), roasted cashew nuts (optional) and mix well. Add water slowly and make a smooth batter, it should not be too thick or too thin. Set the batter for an hour. 
3: After an hour, add ghee into each mold of an appe or paniyaram pan and wait until the ghee becomes hot. Pour a spoonful of batter into each mould until 3/4 full and cook over a low to medium flame until the bottom side of the paniyarams become crispy. 
4: Turn the paniyarams to the other side and cook until the color changes to golden brown. Unniyappam is ready to be serve. 
"
"48","Ven Pongal","2
basmati rice 1
cashewnuts or kaju
cumin / jeera
ghee 1
ginger
moong dal","Ingredients
1 cup BASMATI RICE
0.25 cup MOONG DAL
2 tbsp GHEE
1 tsp CUMIN SEED
2 tsp PEPPER BLACK
0.25 tsp HING OR ASAFOETIDA
5 no CURRY LEAVES
5 no CASHEW NUTS RAW
1 tsp GINGER GRATED
Instructions
1: Wash and soak the rice and moong dal together for 20 minutes. 
2: In a pressure cooker add 4 cups of water, salt, chopped ginger and cook it for 4 whistles. Allow the pressure cooker to cool naturally. 
3: In a skillet heat ghee, add black pepper, cumin seeds and allow it to splutter.  
4: Remove the skillet from heat, add cashew nuts and roast until the color changes into golden brown. 
5: Add curry leaves, asafoetida, mix well in the ghee, add to the rice and dal mixture. Mix well and serve. 
"
"49","Mutton Dum Biryani","2
basmati rice 1
black cardamom
black cumin seeds /kala jeera
black pepper
chilli powder
cloves/lavang
coriander leaves
coriander powder
cumin powder
curd
garam masala powder
ginger garlic paste
green cardamom
green chilies
javitri/mace
lemon
mint leaves
mutton 1
oil
onion
saffron
salt
turmeric powder
water","Marinate the mutton with all the spices at least 8 hours to 12 hours in advance. If you are in a hurry you can also marinate for 1 hour but the longer your marinate, the flavor gets it and the meat becomes tender. (If you are making biryani for dinner, marinate in the morning and if you are making for the afternoon, marinate the previous night and place in the refrigerator.)
Fried Onions makes the biryani moist. You can either use store-bought or homemade.
Rinse and soak the rice for about an hour in cold water. This separates the rice and makes it fluffier. 
Gather the ingredients (Start doing this when the rice is soaking)
Start making Biryani: When the rice and meat are cooking, chop the herbs.
1st Step: Fry the cashews and onions. Drain and keep aside
2nd Step: Add marinated meat let it cook to almost 75% done.
mutton biryani recipe step 1
3rd Step: Bring a big pot of water to a boil, season with salt and spices, and cook the rice to 50% doneness. Taste and adjust the flavor of the water as needed. Salt should be slightly more than what you normally have. Drain and keep aside.
mutton biryani recipe step 2
4th step: Cook the mutton till you see an oil layer on top.
mutton biryani recipe step 3
5th Step: Add 1/2 of the cooked rice and half of the fried onions + coriander leaves + mint leaves. Add the remaining rice and fried onions + coriander leaves + mint leaves + 2 green chilly. sprinkle reserved rice water on top followed by saffron milk. Sprinkle a few drops of food color if using.
Add a tablespoon of ghee and fried cashews.
mutton biryani recipe step 4
6th Step: There are three ways you can cover. 1. With an aluminum foil: Place an aluminum foil on top and slightly seal and place a lid on top. 2. Seal with any kind of dough available. 3. Place the lid and keep something heavy on the top so that the steam does not escape.
mutton biryani recipe step 5
7th Step: Place a girdle or pan on the stove and transfer the biryani pot on top. Reduce the heat to minimum and let it cook for 40 to 50 minutes.
mutton biryani recipe step 6
Step 8: To check for doneness, open the lid and slide a laddle along the side of the pan and scoop out the meat. If there is no water content and the mutton is tender, it means the biriyani is ready."
"5","Chicken 65","2
chicken (boneless & skinless) 1
coriander powder
corn flour 1
cumin powder
garam masala powder
ginger garlic paste
lemon
oil
pepper red or cayenne
salt
vinegar
yogurt","Ingredients
1.50 lb CHICKEN (BONELESS & SKINLESS)
0.50 cup YOGURT PLAIN (CURD)
0.50 tbsp SALT (to taste)
2 tbsp CORIANDER POWDER
2 tbsp GINGER GARLIC PASTE
1.50 tbsp GARAM MASALA
2 tbsp PEPPER RED OR CAYENNE
0.50 tbsp CUMIN POWDER
3 tbsp CORN FLOUR
2 cups OIL (FOR DEEP FRYING)
1 tsp VINEGAR
0.50 tsp LEMON/LIME JUICE
Instructions
1: Cut the chicken into small pieces. Marinate with red chili powder, coriander powder, garam masala, ginger garlic paste, salt, cumin powder, vinegar, lemon juice, yogurt and corn flour for 6 hours in the refrigerator. 
2: In a hot oil, drop the chicken pieces one by one and deep fry over a medium flame until the chicken gets cooked thoroughly and turns out crispy on the outside. Serve chicken 65 with sliced onion and lemon wedges. 
"
"6","Chicken Masala","2
black cumin seeds /kala jeera
black pepper
chicken 1
chilli powder
coriander powder
curry leaves
garam masala powder 1
ginger garlic paste
green chilies
oil
onion
salt
tomato
turmeric powder","Ingredients
1.50 lb CHICKEN CHOPPED
1.50 cup ONIONS CHOPPED
3 no ROMA TOMATO
4 tbsp OIL
1 tsp CUMIN SEED
2 no GREEN CHILIES
1 tbsp GINGER GARLIC PASTE
1 tbsp CORIANDER POWDER
1 tsp GARAM MASALA
0.50 tbsp PEPPER BLACK FRESHLY CRUSHED
0.50 tsp TURMERIC POWDER
0.50 tbsp RED CHILI POWDER
10 no CURRY LEAVES
2 tsp SALT (to taste)
Instructions
1: Cut the chicken into small pieces. Chop the onion and tomato finely. 
2: In a pan heat oil add cumin seeds, chopped onion, green chilies, curry leaves and cook until the onion becomes soft. 
3: Add turmeric powder and mix well. Cook until the turmeric powder loses its raw smell. 
4: Add ginger garlic paste and cook until the ginger garlic paste loses its raw smell. 
5: Add chopped tomato, salt and cook until the tomatoes become soft and mushy. 
6: Add coriander powder, garam masala, red chili powder and cook until the spices lose its raw smell. 
7: Add chicken, half a cup of water, salt and mix well. Cover and cook the chicken on a medium flame till the chicken gets cooked thoroughly. 
8: Uncover the lid add freshly crushed black pepper and cook for another five minutes. Garnish the chicken with chopped coriander leaves and serve. 
"
"7","Chicken Sukka","1
chicken 1
coriander powder
curry leaves
garam masala powder
ginger garlic paste
oil
onion
salt
turmeric powder","Ingredients
1 lb CHICKEN
1 tbsp CORIANDER POWDER
1 tbsp GINGER GARLIC PASTE
1 tsp GARAM MASALA
1 tsp SALT TABLE
3 tbsp OIL
0.50 tsp TURMERIC POWDER
2 cup CHOPPED ONION
10 no CURRY LEAVES
1 tsp FENNEL SEED
Instructions
1: Cut the chicken into small pieces and marinate it with coriander powder, garam masala, salt, red chili powder, turmeric powder and ginger garlic paste for an hour in the refrigerator. 
2: In a deep pan add marinated chicken and half a cup of water. Cover and cook until the chicken gets cooked completely (If you notice liquid content still remaining in the pan with cooked chicken, do not worry about that). 
3: In a separate pan heat oil and add fennel seeds, curry leaves, chopped onion and cook until onion becomes soft. 
4: Add the cooked chicken pieces with remaining liquid content and mix well. Cook until the chicken becomes dry. 
5: Finally, add the crushed black pepper and mix well. Check for the salt and add according to your taste. 
"
"8","Coconut Chutney","3
asafoetida/hing
chana dal or bengal gram 1
coriander leaves
curry leaves
ginger
green chilies
mustard seeds
oil
roasted gram (dalia)
salt
shredded coconut 1
urad dal 1
","Ingredients
1 cup COCONUT SHREDDED
2 tbsp ROASTED GRAM
1 tsp SALT TABLE
2 no GREEN CHILIES
0.50 cup CILANTRO (CORIANDER)LEAVES RAW
1 tsp GINGER GRATED
1 tsp OIL
0.25 tsp MUSTARD SEEDS
0.50 tsp URAD DAL
0.25 tsp HING OR ASAFOETIDA
0.50 tsp CHANNA DAL RAW
5 no CURRY LEAVES
Instructions
1: In a blender add shredded coconut, green chilies, grated ginger, coriander leaves, roasted grams, and salt. Add water little by little and grind it to a smooth texture and transfer it to a bowl. 
2: In a small skillet heat a tsp of oil, add mustard seeds and allow it to splutter. Add urad dal, channa dal, and roast until the color changes to golden brown and turn off the heat. Add asafoetida, curry leaves and mix well in the oil and add to the ground coconut chutney. Mix well and serve. 
"
"9","Coconut Rice","2
asafoetida/hing
basmati rice 1
cashewnuts or kaju
chana dal or bengal gram
curry leaves
mustard seeds
oil
red chilli (dried)
salt
shredded coconut 1
urad dal
water","Ingredients
0.50 cup BASMATI RICE
1 cup WATER
0.25 cup COCONUT SHREDDED
1 tsp OIL
0.25 tsp MUSTARD SEEDS
0.50 tsp URAD DAL
0.50 tsp CHANNA DAL RAW
0.25 tsp HING OR ASAFOETIDA
5 no CURRY LEAVES
2 no RED CHILIES
0.50 tsp SALT TABLE
4 gms CASHEW NUTS RAW
Instructions
1: Soak rice for 20 minutes. Boil water in a saucepan with 0.25 tsp of salt. When the water starts boiling add the soaked rice and cook until all the water absorbed by the rice completely. Spread cooked rice on a wide plate and allow it to cool.  
2: In a separate pan heat, a tsp of oil add mustard seeds and allow it to splutter. 
3: Add urad dal, channa dal, asafoetida, dry red chilies, curry leaves and saute until the urad dal color changes to golden brown and the hing loses its raw smell. Add grated coconut, sprinkle a pinch of salt and saute until the coconut color changes slightly golden brown. 
4: Add the cooked rice and mix well. Check for the salt now and add accordingly. 
"
